timestamp,RPM,THROTTLE_POS,SPEED,FUEL_PRESSURE,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,TIMING_ADVANCE,MAF,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,COMMANDED_EQUIV_RATIO,FUEL_TYPE,O2_B1S2,O2_B2S2,O2_S1_WR_VOLTAGE,COMMANDED_EGR
2025-05-14T16:22:27.756815,1767.5,21.568627450980394,57.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:28.761789,1799.75,18.03921568627451,58.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:29.766803,1794.25,16.07843137254902,58.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:30.769170,1774.0,19.215686274509803,57.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:31.771753,1797.5,16.07843137254902,58.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:32.776777,1768.0,16.470588235294116,57.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:33.781769,1737.75,14.509803921568627,56.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:34.783487,1718.25,14.117647058823529,54.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:35.785164,1610.75,14.117647058823529,51.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:36.790196,1307.0,12.941176470588236,47.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
