timestamp,RPM,ENGINE_LOAD,ABSOLUTE_LOAD,COOLANT_TEMP,INTAKE_TEMP,OIL_TEMP,INTAKE_PRESSURE,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,THROTTLE_POS,FUEL_PRESSURE,FUEL_RAIL_PRESSURE_VAC,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,COMMANDED_EQUIV_RATIO,O2_SENSORS,O2_B1S1,SPEED
2025-05-07T18:32:32.111673,1645.0,3.5294117647058822,1807.0588235294117,88,23,-22,31,18,4.6080000000000005,16.470588235294116,54,364.032,-3.125,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,58.0
2025-05-07T18:32:38.631149,1786.25,4.705882352941177,1807.0588235294117,88,23,-22,22,18,4.6080000000000005,13.72549019607843,54,364.032,0.0,5.46875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,56.0
2025-05-07T18:32:44.179899,1812.75,6.666666666666667,1807.0588235294117,87,23,-22,29,18,4.6080000000000005,15.294117647058824,54,364.032,-1.5625,3.125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,58.0
2025-05-07T18:32:49.932515,1886.5,3.9215686274509802,1807.0588235294117,87,23,-22,22,18,4.6080000000000005,14.117647058823529,54,364.032,0.0,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,56.0
2025-05-07T18:32:55.501501,1661.25,7.450980392156863,1807.0588235294117,87,23,-22,41,18,4.6080000000000005,16.862745098039216,54,364.032,-3.125,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,54.0
2025-05-07T18:33:01.079900,1570.5,3.5294117647058822,1807.0588235294117,87,23,-22,23,18,4.6080000000000005,13.333333333333334,54,364.032,0.0,6.25,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,43.0
2025-05-07T18:33:06.691494,2051.75,6.2745098039215685,1807.0588235294117,87,23,-22,43,18,4.6080000000000005,20.784313725490197,54,364.032,-6.25,6.25,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,34.0
2025-05-07T18:33:12.272528,2375.0,10.980392156862745,1807.0588235294117,87,22,-22,29,18,4.6080000000000005,19.215686274509803,54,364.032,-3.125,1.5625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,46.0
2025-05-07T18:33:18.850538,1771.75,3.9215686274509802,1807.0588235294117,87,22,-22,22,18,4.6080000000000005,14.117647058823529,54,364.032,0.0,6.25,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,33.0
2025-05-07T18:33:24.505546,2367.75,4.705882352941177,1807.0588235294117,87,22,-22,31,18,4.6080000000000005,14.901960784313726,54,364.032,-15.625,5.46875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,27.0
2025-05-07T18:33:31.310356,2176.0,6.666666666666667,1807.0588235294117,86,22,-22,21,18,4.6080000000000005,14.509803921568627,54,364.032,0.0,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,22.0
2025-05-07T18:33:36.839440,1154.0,10.980392156862745,1807.0588235294117,87,23,-22,89,18,4.6080000000000005,15.294117647058824,54,364.032,0.0,6.25,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,15.0
2025-05-07T18:33:42.610191,1447.75,9.019607843137255,1807.0588235294117,87,23,-22,38,18,4.6080000000000005,12.941176470588236,54,364.032,-9.375,9.375,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,5.0
2025-05-07T18:33:48.181203,686.25,3.1372549019607843,1807.0588235294117,88,23,-22,48,18,4.6080000000000005,14.117647058823529,54,364.032,-6.25,9.375,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,7.0
2025-05-07T18:33:53.754327,779.0,2.3529411764705883,1807.0588235294117,89,24,-22,27,18,4.6080000000000005,12.156862745098039,54,364.032,0.0,13.28125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,0.0
2025-05-07T18:33:59.372750,757.75,1.9607843137254901,1807.0588235294117,89,24,-22,28,18,4.6080000000000005,12.156862745098039,54,364.032,-1.5625,15.625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,0.0
2025-05-07T18:34:04.988263,760.25,1.9607843137254901,1807.0588235294117,89,25,-22,27,18,4.6080000000000005,12.156862745098039,54,364.032,-4.6875,15.625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,0.0
2025-05-07T18:34:12.509935,0.0,0.7843137254901961,1807.0588235294117,89,25,-22,101,18,4.6080000000000005,16.470588235294116,54,364.032,0.0,15.625,0.140544,,,
